lsoa code (2011),lsoa code (2021),IMD rank,IMD dec,income,employment,EST,health and disability,crime,barriers to housing and services,living environment
E01008793,E01008793,"1,476",1,1,1,1,1,1,9,10
E01008795,E01008795,"15,603",5,5,4,4,3,6,7,10
E01008796,E01008796,"12,257",4,4,4,4,3,2,9,10
E01008797,E01034518,"22,701",7,8,6,8,5,6,4,10
E01008799,E01008799,"24,472",8,7,7,8,5,6,6,10
E01008800,E01008800,"2,335",1,1,1,1,1,3,8,10
E01008801,E01008801,"25,314",8,9,7,7,5,4,8,10
E01008802,E01008802,"17,001",6,5,4,5,4,5,9,10
E01008803,E01008803,"6,048",2,2,2,2,2,2,10,10
E01008804,E01008804,"6,787",3,2,2,3,2,4,9,10
E01008805,E01008805,"8,325",3,3,2,3,2,5,10,8
E01008808,E01008808,"25,528",8,8,7,9,5,8,5,10
E01008809,E01008809,"9,815",3,3,3,4,4,1,6,10
E01008810,E01008810,"4,318",2,2,1,2,2,3,10,10
E01008811,E01008811,"13,209",5,4,4,4,2,5,10,10
E01008812,E01008812,"3,331",2,1,1,1,1,4,9,10
E01008813,E01008813,"3,778",2,2,1,1,1,2,10,10
E01008814,E01008814,"11,188",4,4,3,3,3,4,10,10
E01008817,E01008817,415,1,1,1,1,1,3,8,10
E01008819,E01008819,"6,272",2,2,2,2,2,3,9,10
E01008820,E01034514,"4,651",2,2,1,2,2,6,10,7
E01008821,E01008821,539,1,1,1,1,1,1,7,10
E01008822,E01008822,"3,440",2,1,1,2,2,2,8,10
E01008823,E01008823,"2,636",1,1,1,1,1,4,8,10
E01008824,E01008824,"2,047",1,1,1,1,1,3,9,10
E01008825,E01008825,"3,849",2,2,1,2,1,2,9,10
E01008826,E01008826,"5,731",2,2,2,2,2,4,8,10
E01008827,E01008827,"2,312",1,1,1,1,1,2,8,10
E01008828,E01008828,"2,479",1,1,1,1,1,3,6,10
E01008829,E01008829,"1,092",1,1,1,1,1,2,9,10
E01008830,E01008830,"11,824",4,3,5,5,3,1,9,7
E01008831,E01008831,"8,279",3,3,3,5,2,1,7,7
E01008832,E01008832,"11,344",4,4,4,4,3,2,10,6
E01008833,E01008833,"9,512",3,3,3,5,3,2,10,5
E01008834,E01008834,"6,070",2,3,2,7,2,1,8,4
E01008835,E01008835,"12,961",4,4,4,7,4,1,10,8
E01008836,E01008836,259,1,1,1,1,1,1,9,9
E01008837,E01008837,"2,318",1,1,1,1,1,1,8,10
E01008838,E01008838,"3,099",1,1,1,1,1,3,9,10
E01008839,E01008839,417,1,1,1,1,1,1,6,10
E01008840,E01008840,"5,366",2,2,2,2,1,6,8,10
E01008841,E01008841,347,1,1,1,1,1,1,6,10
E01008842,E01008842,"9,229",3,3,2,3,2,3,9,10
E01008843,E01008843,"23,300",8,8,6,6,5,8,4,10
E01008844,E01008844,"12,669",4,3,3,6,3,3,8,10
E01008845,E01008845,"21,188",7,7,5,8,3,6,9,10
E01008846,E01008846,"1,915",1,1,1,1,1,3,5,10
E01008847,E01008847,"3,112",1,1,1,1,1,6,4,10
E01008848,E01008848,"17,790",6,6,4,6,5,4,4,10
E01008849,E01008849,"2,495",1,1,1,1,1,5,8,10
E01008850,E01034515,"24,400",8,8,7,7,6,10,2,10
E01008851,E01008851,"7,642",3,3,2,3,1,6,9,10
E01008852,E01008852,"22,057",7,6,6,6,4,8,8,10
E01008853,E01008853,"2,584",1,1,1,1,1,2,9,10
E01008854,E01008854,"2,222",1,1,1,1,1,2,7,8
E01008855,E01008855,"12,300",4,4,3,5,3,9,4,10
E01008856,E01008856,"19,409",6,6,4,7,3,9,6,10
E01008857,E01008857,"8,000",3,2,3,2,2,5,6,10
E01008858,E01008858,"2,022",1,1,1,1,1,3,9,10
E01008859,E01008859,"2,702",1,1,1,1,1,5,6,10
E01008860,E01008860,"4,481",2,2,2,1,2,1,10,10
